car_name,year,selling_price,present_price,kms_driven,fuel_type,seller_type,transmission,owner,car_age,km_per_year,price_per_km,days_to_sell,seller_type_encoded,transmission_encoded,owner_encoded
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,8,2777.777777777778,0.0001139954401823927,55,0,1,0
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,7,300.0,0.0020408163265306124,43,0,1,0
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,13,3571.4285714285716,8.79982400351993e-05,61,0,0,0
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,10,4116.363636363636,5.521079481460215e-05,47,0,1,0
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,11,4739.916666666667,5.09845288326301e-05,54,0,1,0
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,13,1428.5714285714287,0.00014999250037498125,58,0,1,0
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,11,4594.833333333333,7.526433196104392e-05,51,0,1,0
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,7,2025.0,0.0003703475094129992,47,1,1,0
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,14,2969.4666666666667,4.377792245695171e-05,59,0,1,0
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,9,4500.0,0.0001655518766249639,51,0,1,0
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,12,3956.846153846154,6.026438569206843e-05,56,0,1,0
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,13,3871.4285714285716,4.3357133632220807e-05,70,0,1,0
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,10,3545.4545454545455,0.00012691982256865208,53,0,1,0
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,10,4090.909090909091,0.00013333037043621252,49,0,1,0
dzire,2014,5.5,8.06,45000,Diesel,Dealer,Manual,0,10,4090.909090909091,0.0001222195062331948,58,0,1,0
sx4,2011,2.95,7.74,49998,CNG,Dealer,Manual,0,13,3571.285714285714,5.900118002360048e-05,54,0,1,0
dzire,2015,4.65,7.2,48767,Petrol,Dealer,Manual,0,9,4876.7,9.534940944881891e-05,53,0,1,0
800,2003,0.35,2.28,127000,Petrol,Individual,Manual,0,21,5772.727272727273,2.7558838119384884e-06,74,1,1,0
alto k10,2016,3.0,3.76,10079,Petrol,Dealer,Manual,0,8,1119.888888888889,0.00029761904761904765,40,0,1,0
sx4,2003,2.25,7.98,62000,Petrol,Dealer,Manual,0,21,2818.181818181818,3.628973726230222e-05,79,0,1,0
baleno,2016,5.85,7.87,24524,Petrol,Dealer,Automatic,0,8,2724.8888888888887,0.0002385321100917431,52,0,0,0
alto k10,2014,2.55,3.98,46706,Petrol,Dealer,Manual,0,10,4246.0,5.459567088444986e-05,55,0,1,0
sx4,2008,1.95,7.15,58000,Petrol,Dealer,Manual,0,16,3411.764705882353,3.362010999810348e-05,67,0,1,0
dzire,2014,5.5,8.06,45780,Diesel,Dealer,Manual,0,10,4161.818181818182,0.00012013717481051091,53,0,1,0
omni,2012,1.25,2.69,50000,Petrol,Dealer,Manual,0,12,3846.153846153846,2.49995000099998e-05,51,0,1,0
ciaz,2014,7.5,12.04,15000,Petrol,Dealer,Automatic,0,10,1363.6363636363637,0.0004999666688887407,47,0,0,0
ritz,2013,2.65,4.89,64532,Petrol,Dealer,Manual,0,11,5377.666666666667,4.106426169556661e-05,56,0,1,0
wagon r,2006,1.05,4.15,65000,Petrol,Dealer,Manual,0,18,3421.0526315789475,1.615359763695943e-05,77,0,1,0
ertiga,2015,5.8,7.71,25870,Petrol,Dealer,Manual,0,9,2587.0,0.00022418924664682462,52,0,1,0
ciaz,2017,7.75,9.29,37000,Petrol,Dealer,Automatic,0,7,4625.0,0.00020945379854598524,38,0,0,0
fortuner,2012,14.9,30.61,104707,Diesel,Dealer,Automatic,0,12,8054.384615384615,0.00014230049279902204,66,0,0,0
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,9,4000.0,0.000574985625359366,50,0,0,0
innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0,7,1875.0,0.0011999200053329777,42,0,0,0
fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0,11,11250.0,0.00011851764061006955,68,1,0,0
innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0,19,4500.0,3.055521605315496e-05,82,1,1,0
corolla altis,2009,3.6,15.04,70000,Petrol,Dealer,Automatic,0,15,4375.0,5.142783674518936e-05,71,0,0,0
etios cross,2015,4.5,7.27,40534,Petrol,Dealer,Manual,0,9,4053.4,0.00011101517207351671,47,0,1,0
corolla altis,2010,4.75,18.54,50000,Petrol,Dealer,Manual,0,14,3333.3333333333335,9.499810003799923e-05,61,0,1,0
etios g,2014,4.1,6.8,39485,Petrol,Dealer,Manual,1,10,3589.5454545454545,0.00010383427037430988,55,0,1,1
fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0,10,3727.2727272727275,0.0004875490841686788,58,0,0,0
corolla altis,2013,6.95,18.61,40001,Petrol,Dealer,Manual,0,11,3333.4166666666665,0.00017374131293435328,53,0,1,0
etios cross,2015,4.5,7.7,40588,Petrol,Dealer,Manual,0,9,4058.8,0.00011086747640986474,51,0,1,0
fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0,10,7090.909090909091,0.00024038153357008245,52,0,0,0
fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0,9,4700.0,0.0004999893619284696,46,0,0,0
fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0,7,750.0,0.005499083486085653,48,0,0,0
etios liva,2014,4.75,6.95,45000,Diesel,Dealer,Manual,0,10,4090.909090909091,0.00010555320992866825,61,0,1,0
innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0,7,1375.0,0.0017952913371511682,44,0,0,0
fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0,14,3933.3333333333335,0.00015677700377959695,68,0,1,0
corolla altis,2011,4.35,13.74,88000,Petrol,Dealer,Manual,0,13,6285.714285714285,4.9431256462994736e-05,66,0,1,0
corolla altis,2016,14.25,20.91,12000,Petrol,Dealer,Manual,0,8,1333.3333333333333,0.0011874010499125073,43,0,1,0
etios liva,2014,3.95,6.76,71000,Diesel,Dealer,Manual,0,10,6454.545454545455,5.5633019253249955e-05,58,0,1,0
corolla altis,2011,4.5,12.48,45000,Diesel,Dealer,Manual,0,13,3214.285714285714,9.99977778271594e-05,68,0,1,0
corolla altis,2013,7.45,18.61,56001,Petrol,Dealer,Manual,0,11,4666.75,0.00013303096317988643,57,0,1,0
etios liva,2011,2.65,5.71,43000,Petrol,Dealer,Manual,0,13,3071.4285714285716,6.162647380293482e-05,68,0,1,0
etios cross,2014,4.9,8.93,83000,Diesel,Dealer,Manual,0,10,7545.454545454545,5.903543330803244e-05,45,0,1,0
etios g,2015,3.95,6.8,36000,Petrol,Dealer,Manual,0,9,3600.0,0.00010971917446737591,55,0,1,0
corolla altis,2013,5.5,14.68,72000,Petrol,Dealer,Manual,0,11,6000.0,7.638782794683407e-05,59,0,1,0
corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0,20,6435.9047619047615,1.1098368539824646e-05,82,0,0,0
corolla altis,2010,5.25,22.83,80000,Petrol,Dealer,Automatic,0,14,5333.333333333333,6.562417969775378e-05,66,0,0,0
fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0,12,6846.153846153846,0.00016291951775822744,52,0,0,0
corolla altis,2016,14.73,14.89,23000,Diesel,Dealer,Manual,0,8,2555.5555555555557,0.0006404069388287466,47,0,1,0
etios gd,2015,4.75,7.85,40000,Diesel,Dealer,Manual,0,9,4000.0,0.0001187470313242169,53,0,1,0
innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0,7,1875.0,0.0015332311179254716,52,0,0,0
innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0,9,3800.0,0.0003289387121391542,49,0,1,0
innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0,19,9858.8,1.7699833144839408e-05,83,0,1,0
camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3,18,7473.684210526316,1.760550982035338e-05,77,1,0,2
land cruiser,2010,35.0,92.6,78000,Diesel,Dealer,Manual,0,14,5200.0,0.0004487121959974872,70,0,1,0
corolla altis,2012,5.9,13.74,56000,Petrol,Dealer,Manual,0,12,4307.692307692308,0.00010535526151318727,61,0,1,0
etios liva,2013,3.45,6.05,47000,Petrol,Dealer,Manual,0,11,3916.6666666666665,7.340269355971149e-05,54,0,1,0
etios g,2014,4.75,6.76,40000,Petrol,Dealer,Manual,0,10,3636.3636363636365,0.0001187470313242169,56,0,1,0
corolla altis,2009,3.8,18.61,62000,Petrol,Dealer,Manual,0,15,3875.0,6.12893340429993e-05,66,0,1,0
innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0,10,5294.727272727273,0.00019315625912126778,60,0,1,0
innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0,19,3750.0,4.679937600831989e-05,71,0,1,0
fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0,9,4000.0,0.000574985625359366,50,0,0,0
corolla altis,2008,4.0,22.78,89000,Petrol,Dealer,Automatic,0,16,5235.294117647059,4.494331524364895e-05,68,0,0,0
corolla altis,2012,5.85,18.61,72000,Petrol,Dealer,Manual,0,12,5538.461538461538,8.124887154345078e-05,53,0,1,0
innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0,8,3222.222222222222,0.000715492569221751,50,0,0,0
corolla altis,2017,17.0,18.64,8700,Petrol,Dealer,Manual,0,7,1087.5,0.0019537984139754053,46,0,1,0
corolla altis,2013,7.05,18.61,45000,Petrol,Dealer,Manual,0,11,3750.0,0.00015666318526254971,56,0,1,0
fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0,14,3334.9333333333334,0.00019290354822588707,61,0,1,0
Royal Enfield Thunder 500,2016,1.75,1.9,3000,Petrol,Individual,Manual,0,8,333.3333333333333,0.0005831389536821059,39,1,1,0
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,7,175.0,0.0012134189864382583,42,1,1,0
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,7,500.0,0.0004123969007748063,42,1,1,0
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,7,150.0,0.0012073272273105745,40,1,1,0
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,7,512.5,0.00032918800292611563,43,1,1,0
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,9,2170.0,6.2209114787337e-05,52,1,1,0
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,10,1500.0,8.181322344100358e-05,61,1,1,1
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,11,1250.0,8.332777814812346e-05,54,1,1,0
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,8,2000.0,6.666296316871284e-05,49,1,1,0
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,7,1375.0,0.00010908099263703299,44,1,1,0
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,8,666.6666666666666,0.00019996667222129644,37,1,1,0
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,8,966.6666666666666,0.00013216871623951269,46,1,1,0
KTM 390 Duke ,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,10,636.3636363636364,0.00016426224825024995,51,1,1,0
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,8,3888.8888888888887,3.285620410845404e-05,61,1,1,0
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,9,1700.0,6.764307981883418e-05,48,1,1,0
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,9,1750.0,6.342494714587739e-05,51,1,1,0
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,11,2750.0,3.333232326293143e-05,55,1,1,0
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,9,1400.0,7.856581672737662e-05,43,1,1,0
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,9,2600.0,4.2306065151340334e-05,56,1,1,0
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,11,450.0,0.00019440844288094798,56,1,1,0
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,8,633.3333333333334,0.00018417821434835995,50,1,1,0
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,13,492.85714285714283,0.00015215186204897843,52,1,1,0
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,8,666.6666666666666,0.00017497083819363441,53,1,1,0
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,11,3875.0,2.150491387281994e-05,49,1,1,0
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,12,884.6153846153846,8.26015129119207e-05,58,1,1,0
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,15,2500.0,2.249943751406215e-05,74,1,1,0
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,7,162.5,0.0006917755572636434,39,1,1,0
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,8,777.7777777777778,0.00010712755320668476,43,1,1,0
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,7,375.0,0.0002665778073975342,44,1,1,0
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,7,625.0,0.00015596880623875225,41,1,1,0
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,7,1375.0,6.817562039814562e-05,37,1,1,0
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,9,1800.0,4.166435198044553e-05,50,1,1,0
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,7,437.5,0.00021422450728363326,39,1,1,0
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,8,55.55555555555556,0.001437125748502994,48,1,1,0
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,7,1475.0,5.508007795949496e-05,40,1,1,0
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,9,500.0,0.0001299740051989602,56,1,1,0
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,10,2136.3636363636365,2.7658397514999364e-05,48,1,1,0
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,11,1333.3333333333333,4.062246109618149e-05,51,1,1,0
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,8,1666.6666666666667,3.999733351109926e-05,51,1,1,0
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,9,1660.0,3.6142401060177094e-05,43,1,1,0
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,11,2666.6666666666665,1.8749414080809974e-05,56,1,1,0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,8,2222.222222222222,2.999850007499625e-05,54,1,1,0
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,9,2900.0,2.0688941760628942e-05,42,1,1,0
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,8,2777.777777777778,2.3999040038398464e-05,49,1,1,0
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,10,2272.7272727272725,2.3999040038398464e-05,53,1,1,0
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,12,1461.5384615384614,3.157728540603126e-05,59,1,1,0
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,10,1363.6363636363637,3.666422238517432e-05,45,1,1,0
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,9,5800.0,9.482595127670213e-06,47,1,1,0
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,14,3000.0,1.155529877113842e-05,65,1,1,0
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,8,2666.6666666666665,2.124911462022416e-05,49,1,1,0
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,13,428.57142857142856,8.331944675887353e-05,57,1,1,0
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,8,3444.4444444444443,1.6128511983484405e-05,50,1,1,0
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,12,1000.0,3.845858010922237e-05,51,1,1,0
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,11,3750.0,1.1110864203017711e-05,57,1,1,0
Yamaha Fazer ,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,10,727.2727272727273,6.249218847644044e-05,52,1,1,0
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,7,537.5,0.0001116019530341781,40,1,0,0
TVS Sport ,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,7,1875.0,3.1997866808879406e-05,54,1,1,0
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,9,2300.0,2.0868657884439807e-05,52,1,1,0
Honda Dream Yuga ,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,7,1075.0,5.5807464248343215e-05,38,1,1,0
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,7,500.0,0.00011247188202949263,47,1,0,0
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,13,1714.2857142857142,1.8749218782550727e-05,53,1,1,0
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,10,2090.909090909091,1.956436676666232e-05,56,1,1,0
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,12,1115.3846153846155,3.1032342597062275e-05,61,1,1,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,14,1800.0,1.6666049405577573e-05,56,1,1,0
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,8,1555.5555555555557,3.2140561388472256e-05,52,1,1,0
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,8,55.55555555555556,0.0008982035928143712,48,1,0,0
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,8,111.11111111111111,0.00044955044955044955,50,1,1,0
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,10,3818.181818181818,9.999761910430704e-06,63,1,1,0
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,11,1000.0,3.4997083576368635e-05,51,1,1,0
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,9,1400.0,2.8569387900864224e-05,45,1,1,0
Yamaha FZ S ,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,12,423.0769230769231,7.271405199054717e-05,50,1,1,0
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,9,670.0,5.969258319653783e-05,44,1,1,0
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,10,1245.4545454545455,2.919494927377564e-05,50,1,1,0
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,7,162.5,0.00030745580322828596,45,1,0,0
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,9,3860.0,9.844304551695551e-06,53,1,1,0
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,13,5357.142857142857,5.06659911201184e-06,67,1,1,0
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,13,2142.8571428571427,1.1666277790740307e-05,59,1,1,0
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,8,2666.6666666666665,1.4582725719761675e-05,55,1,0,0
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,10,1727.2727272727273,1.8420083153518234e-05,50,1,0,0
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,14,14200.0,1.4553922282055015e-06,92,1,1,0
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,12,4615.384615384615,4.999916668055532e-06,63,1,1,0
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,8,5555.555555555556,5.999880002399952e-06,46,1,1,0
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,11,2500.0,9.999666677777406e-06,49,1,1,0
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,11,1750.0,1.285653064139803e-05,56,1,1,0
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,16,1529.4117647058824,9.615014807122803e-06,63,1,1,1
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,16,111.76470588235294,0.0001315097317201473,65,1,0,0
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,14,1466.6666666666667,1.1363119858188264e-05,62,1,0,0
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,11,2666.6666666666665,7.812255867004156e-06,54,1,1,0
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,11,1500.0,1.3888117326815177e-05,49,1,1,0
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,19,2750.0,3.6362975218632393e-06,65,1,1,0
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,16,3529.4117647058824,3.3332777787036883e-06,65,1,1,0
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,12,1923.076923076923,7.999680012799489e-06,60,1,1,1
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,17,2722.222222222222,4.081549356135589e-06,69,1,1,1
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,11,2000.0,8.332986125578101e-06,48,1,1,1
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,16,2941.176470588235,3.999920001599968e-06,67,1,1,0
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,9,3500.0,5.142710208279764e-06,53,1,1,0
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,16,29411.764705882353,3.3999932000136e-07,107,1,0,0
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,14,2200.0,4.8483379291536624e-06,62,1,1,0
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,13,2500.0,4.285591840233136e-06,59,1,1,1
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,17,2944.4444444444443,2.264108224373125e-06,63,1,1,0
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,18,4854.368421052632,1.0841988854435459e-06,77,1,1,0
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,14,3866.6666666666665,5.60335166635058e-05,66,0,1,1
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,9,2820.0,0.00015602283606964293,56,0,1,0
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,13,3818.5714285714284,5.518041188904061e-05,66,0,1,0
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,9,2828.2,9.723155252271682e-05,43,0,1,0
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,8,388.1111111111111,0.001502575844304522,41,0,1,1
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,7,1559.875,0.0004607371794871795,47,0,1,0
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,9,3479.7,0.00014799701132248982,54,0,0,0
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,7,429.375,0.00229918509895227,46,0,1,0
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,9,2112.5,0.00022957493136419575,69,0,1,0
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,12,2751.923076923077,8.665026833631486e-05,60,0,1,0
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,9,4353.5,0.00026989158397647923,58,0,1,0
